row_id	artifact	path	kind	production_reach	classification	retire_row	evidence	note
B05	loop_cond_return_in_body chain	src/mir/builder/control_flow/plan/features/loop_cond_return_in_body_{pipeline,cleanup,join,phi_materializer,verifier}.rs	wrapper	oracle-only	duplicate-facade	R2B	rg -> loop_cond_composer only	LoopCondReturnInBody physical wrapper family
B06	loop_true pipeline wrapper	src/mir/builder/control_flow/plan/features/loop_true_break_continue_pipeline.rs	wrapper	oracle-only	duplicate-facade	R2B	rg -> loop_true_composer only	LoopTrueBreakContinue non-source lowerer; source twin retained (D-section)
B07	normalizer dead delegators	src/mir/builder/control_flow/plan/normalizer/mod.rs	wrapper	caller-zero	duplicate-facade	R2B	rg:normalize_loop_cond_break_continue/continue_only -> zero callers	symbol-level retirement; file retained (helpers_pure_value/tests live)
B08	lower_loop_cond_break_continue (non-source)	src/mir/builder/control_flow/plan/features/loop_cond_bc.rs	wrapper	oracle-only	duplicate-facade	R2B	rg -> only normalizer delegator + loop_cond_composer	symbol-level; loop_cond_bc.rs shared helpers stay live via loop_cond_bc_source
B09	loop route parity tests	src/mir/loop_recipe_contract/{wire_parity_tests.rs,wire_parity_tests/,wire_route_parity_tests.rs,producer_id_migration_tests.rs}	test	test-only	migration-evidence	R2B	self-described caller-zero parity receipts	5 m8*-test files + 3 top-level files; retiring them drops migration-coverage assertion, red-baseline receipt must absorb the removed tests
# ===== Section C: decision-required rows =====
C01	synthetic 19-row admission/cursor	src/mir/loop_route_policy/{schema.rs,evaluate.rs,policy.rs} + winner_spine family_route_schedule	schedule	live	decision-required	decide	freeze_loop_route_schedule_v1 executed in production at winner_spine:610; cursor-verified inside each family demand issuer	still wired live; retiring requires demand-issuer signature change -> R2C scope after design decision
C02	LoopRouteId behavior selection	src/mir/builder/normal_callable_loop_source_facts/generic/issuer.rs	wrapper	live	decision-required	decide	issuer.rs:83-108 selects loop_cond/loop_true Facts issuer by matched_routes() singleton	the last production site where LoopRouteId picks behavior; singleton check is membership evidence per its doc contract -> design call whether this is the accepted membership seam or a legacy residue
C03	Facts-layer fixed Recipe binding keys	src/mir/loop_structural_facts/direct_accum_effect_plan.rs	facts	live	decision-required	decide	issue() hard-codes LoopBindingKeyV1::new(0/1) across 5 DirectAccumBindingEffectRoleV1 entries	Facts layer minting Recipe keys conflicts with 'Facts contain no Recipe key' invariant; file docstring claims resolved-lowering adjacency -> authority-boundary decision
C04	LoopRouteId itself	src/mir/loop_recipe_contract/route_id.rs	receipt	live	decision-required	decide	used as diagnostic receipt + the C01/C02 artifacts	decide whether route identity survives as data-only diagnostic or retires with the schedule
C05	CanonicalLoopFamily*/CanonicalFirstFamilyPlan dispatch	src/mir/loop_route_policy/family_selector.rs; src/mir/compiler/canonical_route.rs	receipt	live	decision-required	decide	production matches on DirectAccum/NestedPredicate/LoopTrue/LoopCond/GenericG0 candidates	honest record: family-name dispatch did not reach zero; it moved to the canonical membership seam. M12 'family adapter dispatch = zero' needs this boundary spelled out
# ===== Section D: retained semantic input (grouped) =====
D01	family observation/admission/selection	src/mir/loop_route_policy/{family_selector,family_admission,all_route_observation,policy,policy_evidence,schema,evaluate,mod}.rs	receipt	live	semantic-input	retain	winner_spine imports: assemble_loop_family_admission_window_v1, select_canonical_loop_family_v1, issue_*_family_observation_v1, issue_*_policy_demand_v1	exact-membership + policy-demand seam; internal C01 artifact noted
D02	family observation modules	src/mir/loop_route_policy/{direct_accum,nested_predicate,generic_g0,loop_true_break_continue,loop_cond_break_continue}_observation.rs + generic_g0.rs + loop_{true,cond}_break_continue.rs	receipt	live	semantic-input	retain	winner_spine :279,:294,:309,:324,:339,:543,:561,:576	per-family source observation + demand issuers
D03	portable producers (live)	src/mir/loop_recipe_contract/{direct_accum_producer,loop_true_break_continue_producer,loop_cond_break_continue_producer,variable_accum_recurrence_producer}.rs + generic_g0/ + src/mir/compiler/nested_predicate_producer.rs	producer	live	semantic-input	retain	winner_spine :403,:432,:550,:563,:578; issuer.rs:196	one producer per selected family
D04	contract core	src/mir/loop_recipe_contract/{schema,schema_v2,typed_schema_v2*,verify,verify_keys,join_sig,ids,source_binding,source_bound_core,semantic_context,continuation,input_source,internal_declaration,operation_*,physical_*,common_v2_*,binding_declaration,error,normalize,recipe_draft,s6c_*}.rs	receipt	live	semantic-input	retain	consumed by D03 producers + loop_node_physical_admission	neutral contract owner; s6c_* = ScanWithInit cohort
D05	producer/route ids	src/mir/loop_recipe_contract/{producer_id,route_id}.rs	receipt	live	semantic-input	retain	diagnostic receipts only; no production dispatch on LoopRecipeProducerIdV1	C04 records the LoopRouteId open question
D06	membership oracle	src/mir/builder/control_flow/plan/{single_planner,planner,recipe_tree/{block,common,join_scope,contracts,verified,matcher,*_builder.rs},loop_cond/,loop_true_break_continue/}	facts	live	semantic-input	retain	single_planner::try_build_source_outcome <- issuer.rs:45, loop_break.rs:691; builders via matcher/patterns.rs	old facts/planner layer remains the exact-membership producer for the callable lane
D07	route-local source lowerers	src/mir/builder/control_flow/plan/features/{loop_cond_bc_source,loop_true_break_continue_source,loop_break_source,loop_break_composite_source}.rs	physical	live	semantic-input	retain	raw_loop_child_entry.rs:289,:339,:374,:493,:519	callable-lane physical path
D08	shared features helpers	src/mir/builder/control_flow/plan/features/{loop_cond_bc*,loop_true_break_continue_{verifier,cleanup,phi_materializer},if_join,exit_if_map,step_mode,coreloop_frame,loop_carriers,carriers*,body_view,if_branch_lowering,carrier_merge}.rs	physical	live	semantic-input	retain	consumed by D07 source lowerers + plan/parts mixed files; per-symbol split owned by R2B where a file hosts both live and dead symbols
D09	DirectAccum physical lane	src/mir/builder/control_flow/plan/loop_accum_{physicalizer,binding_port,caller_zero}.rs + src/mir/builder/resolved_lowering/direct_accum_{lowerer,adapter}.rs	physical	live	semantic-input	retain	direct_accum_lowerer.rs:135 -> physicalize_direct_accum_v1_with_port	sole DirectAccum physical owner
D10	winner spine + admission	src/mir/compiler/{loop_node_winner_spine,loop_node_physical_admission,loop_physical_prepare,*_projection,*_typed_map*,*_observation,*_profile,*_capability,callable_single_loop_*}.rs	receipt	live	semantic-input	retain	route_loop single production caller chain	the frozen located-source pipeline
D11	loop_route_policy test modules	{adapter,family_selection}.rs + *_tests.rs	test	cfg-test-only	semantic-input	retain	#[cfg(test)] at mod.rs:21,:28	adapter.rs/family_selection.rs are test-only facades pinned by their own test files; they retire only with their tests
# ===== Recorded contradictions =====
# E1: family_selector.rs and winner_spine module docs still say 'caller-zero';
#     both are live (router.rs:197 -> spine; spine:378 -> selector). Doc drift,
#     not a code defect; fix in the commit that touches each file.
# E2: ATTESTED_RECIPE_BACKED_V1 (all_route_observation.rs:66-105) claims
#     LoopBreakRecipe->VariableAccumBreakV1 and GenericLoopV1->GenericResidualV1,
#     but production LoopBreak lowers via loop_break_source (callable lane) and
#     GenericLoopV1 has no production reach. The attestation is migration
#     coverage, not an owner map; A05-A10 decisions must correct it, not mirror it.
